1,2,3,4,5,6,7,8,9,10,11,12
A,BM2_0162_1,PDS/MK/095_3,PDS/AH/097_1,PDS/MK/168_3,PDS/JR/178_1,PDS/RH/061_1,PDS/JR/385_1,PDS/HH/025_3,C9C_9271_1,PDS/AH/113_3,PDS/JR/280_1,NC1
B,PDS/MK/168_1,BM2_0169_1,BM1_0290_1,PRO_0324_1,BM1_0334_1,PDS/JR/078_3,BM2_0162_2,PDS/HH/023_1,PDS/JR/485_1,PDS/NH/008_3,PDS/JR/458_3,NC2
C,PDS/JR/458_1,PDS/NH/003_1,PDS/PA/172_3,BM2_0019_2,PDS/MK/095_1,AMB_0271_1,PRO_0332_1,PDS/PA/020_1,PDS/PA/172_1,PDS/JR/054_1,PDS/NH/094_1,NC3
D,PDS/RH/183_1,AMB_0080_1,PDS/JR/078_1,PDS/JR/383_1,PDS/RH/101_1,PDS/PA/122_1,PDS/NH/130_1,BM2_0191_1,PDS/JR/421_1,C9C_7684_1,BM2_0019_3,PC1
E,PDS/MK/093_1,PDS/NH/074_1,BM2_0186_1,PDS/RH/124_1,PRO_0410_1,C9C_9271_3,PDS/PA/155_1,PDS/RH/163_1,C9C_0473_1,PDS/RH/038_1,PDS/RH/101_3,PC2
F,PDS/JR/010_1,PDS/HH/025_1,C9C_8949_1,PDS/NH/191_3,BM1_0275_1,PDS/MK/097_1,PDS/JR/383_2,AMB_0292_1,PDS/HH/023_3,PDS/JR/327_3,PDS/NH/065_1,PC3
G,PDS/SF/033_1,PRO_0324_2,AMB_0080_2,PDS/AH/091_1,PDS/AH/113_1,PDS/NH/102_1,PDS/WP/015_1,PDS/NH/191_1,BM2_0019_1,PDS/WP/015_3,SC1,PC4
H,PDS/PA/020_3,AMB_0234_1,PDS/HH/068_1,PDS/JR/344_1,C9C_9271_2,PDS/JR/327_1,PDS/NH/188_1,PDS/NH/008_1,PDS/JR/231_1,PDS/PA/159_1,SC2,PC5
