,1,2,3,4,5,6,7,8,9,10,11,12
A,AMB_0108_1,PRO_0330_3,PDS/PA/139_3,PDS/HH/040_1,PRO_0334_2,PDS/JR/156_1,PRO_0430_1,PDS/MK/027_3,PDS/JR/047_1,BM1_0297_1,PDS/RH/099_1,NC1
B,PRO_0444_1,AMB_0108_2,BM1_0265_1,BM1_0263_1,PDS/SH/007_1,PDS/WP/036_1,PRO_0435_1,PDS/RH/136_1,PDS/NH/117_3,BM1_0299_1,BM2_0047_1,NC2
C,PDS/HH/037_1,PDS/NH/160_1,BM1_0249_4,AMB_0035_3,PDS/JR/340_3,PDS/JR/242_3,PDS/JR/464_3,C9C_7864_1,PRO_0334_1,PDS/PA/139_1,PDS/RH/136_3,NC3
D,PDS/PA/119_1,PDS/PO/018_1,PRO_0330_2,PDS/JR/001_1,PDS/MK/043_1,PRO_0430_2,PDS/AH/118_1,PDS/JR/340_1,PDS/MK/027_1,PDS/JR/047_3,BM1_0249_1,PC1
E,PDS/RH/239_1,BM1_0265_2,PDS/MK/043_3,PDS/JR/518_1,C9C_2225_1,PDS/HH/040_3,AMB_0035_1,BM1_0249_2,PDS/NH/035_1,BM1_0249_3,PDS/JR/001_3,PC2
F,BM2_0047_2,PDS/MK/187_1,PDS/RH/225_1,PDS/RH/128_1,PDS/RH/085_1,PRO_0330_1,C9C_4807_1,BM2_0170_1,C9C_3004_1,PDS/NH/036_3,AMB_0259_2,PC3
G,BM1_0320_1,PDS/NH/117_1,AMB_0028_1,AMB_0259_1,PDS/RH/099_4,BM2_0168_1,PDS/JR/215_1,PDS/JR/519_1,PRO_0435_2,PDS/JR/242_1,SC1,PC4
H,PDS/NH/036_1,PRO_0430_3,PDS/JR/464_1,PDS/JR/280_1,PDS/JR/512_1,AMB_0035_2,PDS/WP/036_3,AMB_0108_3,PDS/MK/217_1,PDS/AH/118_2,SC2,PC5
