,1,2,3,4,5,6,7,8,9,10,11,12
A,AMB_0101_3,PDS/NH/010_1,PDS/MK/220_1,PDS/RH/051_1,AMB_0085_2,PDS/RH/160_1,PDS/WP/013_1,PRO_0432_2,PDS/RH/232_3,PDS/AH/059_1,AMB_0110_2,NC1
B,AMB_0265_1,PDS/JR/310_1,PDS/PA/088_3,BM1_0362_1,PDS/HH/070_1,AMB_0207_1,AMB_0085_1,PDS/JR/026_1,PDS/RH/013_1,PDS/RH/003_1,PDS/HH/028_3,NC2
C,PDS/JR/232_1,PDS/RH/260_1,PDS/MK/003_1,AMB_0101_2,PDS/RH/232_1,AMB_0110_1,PDS/JR/400_1,PDS/JR/048_1,PDS/AH/023_1,BM1_0329_1,C9C_6183_1,NC3
D,PDS/RH/013_3,AMB_0085_3,PRO_0361_1,PDS/RH/003_3,PDS/MK/136_1,PDS/RH/105_1,BM2_0177_1,PDS/KH/009_1,PDS/PA/088_1,AMB_0207_2,PDS/JR/322_1,PC1
E,PDS/JR/116_1,PRO_0463_1,PDS/JR/322_3,PDS/PA/129_1,PDS/PA/091_1,PDS/MK/097_1,PDS/JR/139_1,PRO_0416_2,PDS/JR/139_2,BM2_0185_1,PDS/RH/260_3,PC2
F,PDS/JR/137_1,PRO_0361_2,PDS/MK/078_1,PDS/JR/116_3,PDS/JR/561_1,C9C_0564_1,BM2_0062_1,PDS/PA/035_1,PDS/RH/055_1,PDS/HH/028_1,PDS/JR/372_1,PC3
G,PDS/JR/352_1,PDS/AH/032_3,AMB_0085_4,C9C_7426_1,AMB_0101_1,PDS/AH/032_1,PDS/MK/010_1,PDS/JR/372_3,PDS/MK/003_3,PRO_0432_1,SC1,PC4
H,PDS/HH/070_3,PDS/JR/436_1,PDS/MK/165_1,PDS/RH/059_1,PDS/MK/045_1,AMB_0255_1,PRO_0416_1,C9C_4055_1,AMB_0233_1,PDS/RH/036_1,SC2,PC5
