PDS/RH/033_2,PDS/NH/056_1,PDS/AH/060_1,PDS/MK/079_1,PDS/PA/017_3,PDS/RH/033_1,AMB_0296_1,PRO_0453_1,PRO_0406_3,PDS/JR/060_1,PDS/PA/140_1,NC1
PDS/MK/032_3,PDS/RH/003_3,BM2_0016_1,PDS/KH/028_1,BM1_0363_1,PDS/NH/005_1,PDS/AH/060_3,AMB_0194_5,BM1_0286_2,PDS/HH/022_1,AMB_0073_1,NC2
PDS/HH/022_3,BM1_0254_1,BM2_0161_1,BM1_0298_2,BM1_0286_3,PRO_0406_2,PDS/JR/530_1,PDS/RH/105_1,PDS/JR/099_1,AMB_0058_1,PDS/JR/287_3,NC3
BM1_0298_1,PRO_0453_2,AMB_0070_1,C9C_3462_1,PDS/MK/079_3,PDS/JR/009_1,BM1_0286_1,PDS/RH/055_1,AMB_0058_2,PDS/HH/051_1,PDS/JR/124_3,PC1
AMB_0027_1,PDS/MK/032_1,PRO_0406_1,PDS/JR/124_1,PDS/AH/020_1,AMB_0099_1,PDS/AH/067_1,AMB_0057_1,PDS/MK/008_1,PDS/JR/287_1,BM2_0201_3,PC2
PRO_0337_1,PDS/JR/387_1,AMB_0194_1,BM2_0067_1,PDS/RH/205_1,AMB_0242_1,PDS/PA/053_3,PRO_0406_4,PDS/PA/017_1,PDS/NH/098_1,PDS/WP/038_1,PC3
AMB_0194_4,PDS/WP/038_3,PDS/JR/387_2,PDS/WP/032_1,AMB_0194_3,PDS/PA/053_1,BM2_0201_1,BM1_0286_5,PDS/NH/153_1,AMB_0194_2,SC1,PC4
PDS/PA/112_1,BM1_0286_4,PDS/NH/153_3,PDS/AH/067_3,PDS/RH/003_1,PDS/RH/211_1,PDS/JR/060_3,PDS/JR/296_1,PDS/MK/013_1,BM2_0201_2,SC2,PC5
